Date,Player,Pos,Runs
19-Sep-2020,F du Plessis(Chennai Super Kings),3,58
19-Sep-2020,AT Rayudu(Chennai Super Kings),4,71
20-Sep-2020,MP Stoinis(Delhi Capitals),6,53
20-Sep-2020,MA Agarwal(Kings XI Punjab),2,89
21-Sep-2020,D Padikkal(Royal Challengers Bangalore),1,56
21-Sep-2020,AB de Villiers(Royal Challengers Bangalore),4,51
21-Sep-2020,JM Bairstow(Sunrisers Hyderabad),2,61
22-Sep-2020,SPD Smith(Rajasthan Royals),2,69
22-Sep-2020,SV Samson(Rajasthan Royals),3,74
22-Sep-2020,F du Plessis(Chennai Super Kings),3,72
23-Sep-2020,RG Sharma(Mumbai Indians),2,80
24-Sep-2020,KL Rahul(Kings XI Punjab),1,132
25-Sep-2020,PP Shaw(Delhi Capitals),1,64
26-Sep-2020,MK Pandey(Sunrisers Hyderabad),3,51
26-Sep-2020,Shubman Gill(Kolkata Knight Riders),1,70
27-Sep-2020,KL Rahul(Kings XI Punjab),1,69
27-Sep-2020,MA Agarwal(Kings XI Punjab),2,106
27-Sep-2020,SPD Smith(Rajasthan Royals),2,50
27-Sep-2020,SV Samson(Rajasthan Royals),3,85
27-Sep-2020,R Tewatia(Rajasthan Royals),4,53
28-Sep-2020,D Padikkal(Royal Challengers Bangalore),1,54
28-Sep-2020,AJ Finch(Royal Challengers Bangalore),2,52
28-Sep-2020,AB de Villiers(Royal Challengers Bangalore),4,55
28-Sep-2020,Ishan Kishan(Mumbai Indians),4,99
28-Sep-2020,KA Pollard(Mumbai Indians),6,60
29-Sep-2020,JM Bairstow(Sunrisers Hyderabad),2,53
30-Sep-2020,TK Curran(Rajasthan Royals),7,54
01-Oct-2020,RG Sharma(Mumbai Indians),2,70
02-Oct-2020,PK Garg(Sunrisers Hyderabad),5,51
02-Oct-2020,RA Jadeja(Chennai Super Kings),6,50
03-Oct-2020,D Padikkal(Royal Challengers Bangalore),1,63
03-Oct-2020,V Kohli(Royal Challengers Bangalore),3,72
03-Oct-2020,PP Shaw(Delhi Capitals),1,66
03-Oct-2020,SS Iyer(Delhi Capitals),3,88
03-Oct-2020,N Rana(Kolkata Knight Riders),3,58
04-Oct-2020,Q de Kock(Mumbai Indians),2,67
04-Oct-2020,DA Warner(Sunrisers Hyderabad),1,60
04-Oct-2020,KL Rahul(Kings XI Punjab),1,63
04-Oct-2020,SR Watson(Chennai Super Kings),1,83
04-Oct-2020,F du Plessis(Chennai Super Kings),2,87
05-Oct-2020,MP Stoinis(Delhi Capitals),5,53
06-Oct-2020,SA Yadav(Mumbai Indians),3,79
06-Oct-2020,JC Buttler(Rajasthan Royals),2,70
07-Oct-2020,RA Tripathi(Kolkata Knight Riders),1,81
07-Oct-2020,SR Watson(Chennai Super Kings),1,50
08-Oct-2020,DA Warner(Sunrisers Hyderabad),1,52
08-Oct-2020,JM Bairstow(Sunrisers Hyderabad),2,97
08-Oct-2020,N Pooran(Kings XI Punjab),4,77
10-Oct-2020,Shubman Gill(Kolkata Knight Riders),2,57
10-Oct-2020,KD Karthik(Kolkata Knight Riders),5,58
10-Oct-2020,KL Rahul(Kings XI Punjab),1,74
10-Oct-2020,MA Agarwal(Kings XI Punjab),2,56
10-Oct-2020,V Kohli(Royal Challengers Bangalore),3,90
11-Oct-2020,MK Pandey(Sunrisers Hyderabad),3,54
11-Oct-2020,S Dhawan(Delhi Capitals),2,69
11-Oct-2020,Q de Kock(Mumbai Indians),2,53
11-Oct-2020,SA Yadav(Mumbai Indians),3,53
12-Oct-2020,AB de Villiers(Royal Challengers Bangalore),4,73
13-Oct-2020,KS Williamson(Sunrisers Hyderabad),4,57
14-Oct-2020,S Dhawan(Delhi Capitals),2,57
14-Oct-2020,SS Iyer(Delhi Capitals),4,53
15-Oct-2020,KL Rahul(Kings XI Punjab),1,61
15-Oct-2020,CH Gayle(Kings XI Punjab),3,53
16-Oct-2020,PJ Cummins(Kolkata Knight Riders),7,53
16-Oct-2020,Q de Kock(Mumbai Indians),2,78
17-Oct-2020,SPD Smith(Rajasthan Royals),4,57
17-Oct-2020,AB de Villiers(Royal Challengers Bangalore),4,55
17-Oct-2020,F du Plessis(Chennai Super Kings),2,58
17-Oct-2020,S Dhawan(Delhi Capitals),2,101
18-Oct-2020,Q de Kock(Mumbai Indians),2,53
18-Oct-2020,KL Rahul(Kings XI Punjab),1,77
19-Oct-2020,JC Buttler(Rajasthan Royals),5,70
20-Oct-2020,S Dhawan(Delhi Capitals),2,102
20-Oct-2020,N Pooran(Kings XI Punjab),4,53
22-Oct-2020,MK Pandey(Sunrisers Hyderabad),3,83
22-Oct-2020,V Shankar(Sunrisers Hyderabad),4,52
23-Oct-2020,SM Curran(Chennai Super Kings),7,52
23-Oct-2020,Ishan Kishan(Mumbai Indians),2,68
24-Oct-2020,N Rana(Kolkata Knight Riders),2,81
24-Oct-2020,SP Narine(Kolkata Knight Riders),5,64
